disease,lead_1,lead_2,mean_importance_score
AFIB,V1,V2,0.38732508556710354
AFIB,V1,V3,0.3637236081367288
AFIB,V1,V4,0.2970498161266248
AFIB,V1,V5,0.29865998687291595
AFIB,V1,V6,0.3523017068179668
AFIB,V2,V3,0.3613113356078113
AFIB,V2,V4,0.2947173455302361
AFIB,V2,V5,0.29326596639222574
AFIB,V2,V6,0.35247206759121674
AFIB,V3,V4,0.28316340937382656
AFIB,V3,V5,0.2766165857375771
AFIB,V3,V6,0.3365028839917094
AFIB,V4,V5,0.22639464917006322
AFIB,V4,V6,0.2692026734959196
AFIB,V5,V6,0.2711121105264733
NT_,I,II,0.3076816220829885
NT_,I,III,0.28128831955293804
NT_,AVR,I,0.2648851796736319
NT_,AVL,I,0.2802651681254308
NT_,AVF,I,0.2683703185369571
NT_,I,V4,0.27049637369811536
NT_,I,V5,0.27307267829775816
NT_,II,III,0.3226879294216632
NT_,AVR,II,0.2984899429480235
NT_,AVL,II,0.3049773396054904
NT_,AVF,II,0.3049171166370312
NT_,AVR,III,0.273964178537329
NT_,AVL,III,0.2827472718060017
NT_,AVF,III,0.2884316351264715
NT_,AVL,AVR,0.2705438713977734
NT_,AVF,AVR,0.25186620280146604
NT_,AVF,AVL,0.2617964152991771
NT_,AVF,V4,0.246193942601482
NT_,AVF,V5,0.2549179831643899
NT_,V1,V2,0.260131306797266
NT_,V1,V3,0.2489815734326839
NT_,V1,V4,0.23564913411935165
NT_,V1,V5,0.25005883872509005
NT_,V1,V6,0.2700624474386374
NT_,V2,V3,0.2790733108421167
NT_,V2,V4,0.2730202986299991
NT_,V2,V5,0.2781744965910913
NT_,V2,V6,0.28899814359843734
NT_,V3,V4,0.263811637883385
NT_,V3,V5,0.27150075112779937
NT_,V3,V6,0.2829534652084112
NT_,V4,V5,0.2727460966755946
NT_,V4,V6,0.28031588847438493
NT_,V5,V6,0.29081008089085425
ILBBB,I,II,0.20599068727344275
ILBBB,I,III,0.23084565192461015
ILBBB,AVR,I,0.20464548520743847
ILBBB,AVL,I,0.19809816528111696
ILBBB,AVF,I,0.20203175373375415
ILBBB,I,V4,0.17170520041137935
ILBBB,I,V5,0.16616016272455453
ILBBB,II,III,0.2925333582237363
ILBBB,AVR,II,0.27245981875807046
ILBBB,AVL,II,0.24269141800701619
ILBBB,AVF,II,0.22163846835494042
ILBBB,AVR,III,0.2893240114673972
ILBBB,AVL,III,0.27641642645001413
ILBBB,AVF,III,0.2437980854511261
ILBBB,AVL,AVR,0.2595449446886778
ILBBB,AVF,AVR,0.21002315763384105
ILBBB,AVF,AVL,0.20335510581731797
ILBBB,AVF,V4,0.17570631936192513
ILBBB,AVF,V5,0.17329302873462438
ILBBB,V1,V2,0.3906352189928293
ILBBB,V1,V3,0.3875174787640572
ILBBB,V1,V4,0.3095880153030157
ILBBB,V1,V5,0.33637218371033667
ILBBB,V1,V6,0.39169363521039485
ILBBB,V2,V3,0.36703684911131856
ILBBB,V2,V4,0.2938324837759137
ILBBB,V2,V5,0.3235734744742513
ILBBB,V2,V6,0.36851475298404696
ILBBB,V3,V4,0.29143307730555534
ILBBB,V3,V5,0.32041266579180955
ILBBB,V3,V6,0.35845803186297415
ILBBB,V4,V5,0.21820662945508956
ILBBB,V4,V6,0.27251855745911596
ILBBB,V5,V6,0.300279013030231
1AVB,I,II,0.2213055982470512
1AVB,I,III,0.2512495768368245
1AVB,AVR,I,0.22507913939952853
1AVB,AVL,I,0.21906504834890367
1AVB,AVF,I,0.19877500844001778
1AVB,I,V4,0.1769965824842453
1AVB,I,V5,0.17291315149068834
1AVB,II,III,0.32595715386867524
1AVB,AVR,II,0.2961289471030235
1AVB,AVL,II,0.28263898040056235
1AVB,AVF,II,0.24444961715936667
1AVB,AVR,III,0.31977718657851223
1AVB,AVL,III,0.31586527212858195
1AVB,AVF,III,0.2706130059063434
1AVB,AVL,AVR,0.28814224355220797
1AVB,AVF,AVR,0.2386503970682621
1AVB,AVF,AVL,0.22861403416991238
1AVB,AVF,V4,0.1774063558042049
1AVB,AVF,V5,0.17393418490886695
1AVB,V1,V2,0.3734368052840234
1AVB,V1,V3,0.3646605630099773
1AVB,V1,V4,0.3040543042778968
1AVB,V1,V5,0.29188233713507644
1AVB,V1,V6,0.3517569560825824
1AVB,V2,V3,0.35842251136302944
1AVB,V2,V4,0.3000077313184738
1AVB,V2,V5,0.2885086103141307
1AVB,V2,V6,0.34507711516618733
1AVB,V3,V4,0.2964843718528748
1AVB,V3,V5,0.2791868489861488
1AVB,V3,V6,0.3409231613934041
1AVB,V4,V5,0.22309839850664148
1AVB,V4,V6,0.2816091774880886
1AVB,V5,V6,0.2762185096681118
LPR,I,II,0.2536422972168241
LPR,I,III,0.27520611709782056
LPR,AVR,I,0.24932808607816703
LPR,AVL,I,0.24036661553595742
LPR,AVF,I,0.21751231937536175
LPR,I,V4,0.18195315412112642
LPR,I,V5,0.18193360919398924
LPR,II,III,0.35703135936387936
LPR,AVR,II,0.3425001848063299
LPR,AVL,II,0.3220654827037028
LPR,AVF,II,0.2737070700206928
LPR,AVR,III,0.359349973531706
LPR,AVL,III,0.34307175612875396
LPR,AVF,III,0.2924421316385269
LPR,AVL,AVR,0.3166302313336305
LPR,AVF,AVR,0.2693021527358464
LPR,AVF,AVL,0.24958881062056337
LPR,AVF,V4,0.18214712849685125
LPR,AVF,V5,0.1801907100422042
LPR,V1,V2,0.34867727851229063
LPR,V1,V3,0.3514485584199427
LPR,V1,V4,0.28848125496080934
LPR,V1,V5,0.28817424151514265
LPR,V1,V6,0.33397807958935
LPR,V2,V3,0.35767289082918857
LPR,V2,V4,0.2904762923930372
LPR,V2,V5,0.28774781197309485
LPR,V2,V6,0.3361063485486168
LPR,V3,V4,0.29038403472730095
LPR,V3,V5,0.28675564697810574
LPR,V3,V6,0.33592037364840527
LPR,V4,V5,0.22961650857967988
LPR,V4,V6,0.27593092103089595
LPR,V5,V6,0.2697618950690541
ISCIN,I,II,0.25442509673535824
ISCIN,I,III,0.23539389841258526
ISCIN,AVR,I,0.19070116188377143
ISCIN,AVL,I,0.22154705122113227
ISCIN,AVF,I,0.24967466276139022
ISCIN,I,V4,0.18459269605576992
ISCIN,I,V5,0.18567451786249875
ISCIN,II,III,0.27130039740353823
ISCIN,AVR,II,0.22297804187983275
ISCIN,AVL,II,0.2548871034383774
ISCIN,AVF,II,0.27976402968168257
ISCIN,AVR,III,0.20727488189935683
ISCIN,AVL,III,0.2333357274159789
ISCIN,AVF,III,0.26127639509737494
ISCIN,AVL,AVR,0.19544680532068015
ISCIN,AVF,AVR,0.20997960072010755
ISCIN,AVF,AVL,0.2230635090917349
ISCIN,AVF,V4,0.19392166528850793
ISCIN,AVF,V5,0.1992433875799179
ISCIN,V1,V2,0.48923617623746396
ISCIN,V1,V3,0.4520731138437986
ISCIN,V1,V4,0.3517327766865492
ISCIN,V1,V5,0.3519146513193846
ISCIN,V1,V6,0.42371610466390847
ISCIN,V2,V3,0.4293399538099766
ISCIN,V2,V4,0.33191059820353985
ISCIN,V2,V5,0.32362591471523044
ISCIN,V2,V6,0.392131809592247
ISCIN,V3,V4,0.30472196608781815
ISCIN,V3,V5,0.29447525840252636
ISCIN,V3,V6,0.3532780369743705
ISCIN,V4,V5,0.21547916397452355
ISCIN,V4,V6,0.2618382778018713
ISCIN,V5,V6,0.25336689125746487
RAO/RAE,I,II,0.17910223975777625
RAO/RAE,I,III,0.15380355849862098
RAO/RAE,AVR,I,0.15426030822098255
RAO/RAE,AVL,I,0.16052643239498138
RAO/RAE,AVF,I,0.15928790844976903
RAO/RAE,I,V4,0.16616817355155944
RAO/RAE,I,V5,0.17362038381397724
RAO/RAE,II,III,0.19745150744915008
RAO/RAE,AVR,II,0.16730712957680224
RAO/RAE,AVL,II,0.186572145819664
RAO/RAE,AVF,II,0.21159232407808304
RAO/RAE,AVR,III,0.1530064059793949
RAO/RAE,AVL,III,0.1572829296439886
RAO/RAE,AVF,III,0.1726991878449917
RAO/RAE,AVL,AVR,0.15489142417907714
RAO/RAE,AVF,AVR,0.15304107435047626
RAO/RAE,AVF,AVL,0.15462548680603505
RAO/RAE,AVF,V4,0.17881408512592314
RAO/RAE,AVF,V5,0.18329226203262805
RAO/RAE,V1,V2,0.4728539890050888
RAO/RAE,V1,V3,0.4638959231227636
RAO/RAE,V1,V4,0.32523814477026464
RAO/RAE,V1,V5,0.33530683904886244
RAO/RAE,V1,V6,0.42833364859223366
RAO/RAE,V2,V3,0.4749820229411125
RAO/RAE,V2,V4,0.3627004911750555
RAO/RAE,V2,V5,0.36648251324892045
RAO/RAE,V2,V6,0.45074532330036166
RAO/RAE,V3,V4,0.33974956564605235
RAO/RAE,V3,V5,0.3294340088963509
RAO/RAE,V3,V6,0.4235279865562916
RAO/RAE,V4,V5,0.23350002720952034
RAO/RAE,V4,V6,0.3169631747156382
RAO/RAE,V5,V6,0.3038760120421648
STACH,I,II,0.23379384144492757
STACH,I,III,0.2303654922609744
STACH,AVR,I,0.21331944095051802
STACH,AVL,I,0.21995718810869305
STACH,AVF,I,0.20446225825211278
STACH,I,V4,0.18788917235058286
STACH,I,V5,0.18819819338295765
STACH,II,III,0.29076796449396924
STACH,AVR,II,0.2711359482874042
STACH,AVL,II,0.27542038477633307
STACH,AVF,II,0.2551667679911074
STACH,AVR,III,0.26998802757133605
STACH,AVL,III,0.27753703588376877
STACH,AVF,III,0.25303242204629856
STACH,AVL,AVR,0.2516142666858176
STACH,AVF,AVR,0.23214486324268832
STACH,AVF,AVL,0.2342609257348206
STACH,AVF,V4,0.187690531928902
STACH,AVF,V5,0.1884269364048605
STACH,V1,V2,0.38123125685297937
STACH,V1,V3,0.37540582726830996
STACH,V1,V4,0.2950853511885456
STACH,V1,V5,0.2989892686838688
STACH,V1,V6,0.35739618267054146
STACH,V2,V3,0.38251875467922375
STACH,V2,V4,0.30472708314657215
STACH,V2,V5,0.3040889211322951
STACH,V2,V6,0.3593167880954949
STACH,V3,V4,0.30319177201908565
STACH,V3,V5,0.29820337017593174
STACH,V3,V6,0.3552129239815733
STACH,V4,V5,0.22953668120114695
STACH,V4,V6,0.2720560264976129
STACH,V5,V6,0.2814718288701514
IRBBB,I,II,0.26048328012228006
IRBBB,I,III,0.2683593796125867
IRBBB,AVR,I,0.24638596889647568
IRBBB,AVL,I,0.24182355958629734
IRBBB,AVF,I,0.22740794252265586
IRBBB,I,V4,0.20833132088861686
IRBBB,I,V5,0.2029305156252601
IRBBB,II,III,0.3218986660106614
IRBBB,AVR,II,0.3021898069571365
IRBBB,AVL,II,0.2913266139342026
IRBBB,AVF,II,0.26192110260101875
IRBBB,AVR,III,0.31424897853623734
IRBBB,AVL,III,0.303616016513922
IRBBB,AVF,III,0.27031256595118475
IRBBB,AVL,AVR,0.2786798337305134
IRBBB,AVF,AVR,0.24992064305327158
IRBBB,AVF,AVL,0.23444300096143375
IRBBB,AVF,V4,0.20609845367344942
IRBBB,AVF,V5,0.20274498665874652
IRBBB,V1,V2,0.36364385148341
IRBBB,V1,V3,0.3571606373109601
IRBBB,V1,V4,0.30414033230732795
IRBBB,V1,V5,0.3059201450645923
IRBBB,V1,V6,0.34644209758124567
IRBBB,V2,V3,0.35873786054551604
IRBBB,V2,V4,0.31183260173282845
IRBBB,V2,V5,0.3128392277387057
IRBBB,V2,V6,0.35315308009358964
IRBBB,V3,V4,0.2976790132779966
IRBBB,V3,V5,0.2979259722883051
IRBBB,V3,V6,0.3350711398978126
IRBBB,V4,V5,0.2435136776552959
IRBBB,V4,V6,0.2807889740575444
IRBBB,V5,V6,0.2835889211364768
3AVB,I,II,0.25367394372820856
3AVB,I,III,0.24309103690087797
3AVB,AVR,I,0.21417589001357556
3AVB,AVL,I,0.24305632337927818
3AVB,AVF,I,0.23234697848558425
3AVB,I,V4,0.18493714950978757
3AVB,I,V5,0.17948512993752958
3AVB,II,III,0.29602920211851597
3AVB,AVR,II,0.2442996699362993
3AVB,AVL,II,0.28150650471448896
3AVB,AVF,II,0.2633233720809221
3AVB,AVR,III,0.25699470221996307
3AVB,AVL,III,0.25700447089970113
3AVB,AVF,III,0.26055044002830985
3AVB,AVL,AVR,0.24018996641039847
3AVB,AVF,AVR,0.22114336244761945
3AVB,AVF,AVL,0.2408217090368271
3AVB,AVF,V4,0.19263265073299407
3AVB,AVF,V5,0.18617788955569267
3AVB,V1,V2,0.49918946087360383
3AVB,V1,V3,0.4856852869689465
3AVB,V1,V4,0.42881585530936717
3AVB,V1,V5,0.4178961727023125
3AVB,V1,V6,0.4618866115808487
3AVB,V2,V3,0.4161207394301891
3AVB,V2,V4,0.3540622697025537
3AVB,V2,V5,0.3477546416223049
3AVB,V2,V6,0.4259681263566017
3AVB,V3,V4,0.32213009156286715
3AVB,V3,V5,0.33118573158979414
3AVB,V3,V6,0.40171544030308726
3AVB,V4,V5,0.26902514807879924
3AVB,V4,V6,0.3457216876745224
3AVB,V5,V6,0.37754910945892334
INJIL,I,II,0.20272293746471404
INJIL,I,III,0.17282188937067985
INJIL,AVR,I,0.16498654156923295
INJIL,AVL,I,0.20956505596637726
INJIL,AVF,I,0.1658155305683613
INJIL,I,V4,0.14921558409929275
INJIL,I,V5,0.1834430994093418
INJIL,II,III,0.17285607516765594
INJIL,AVR,II,0.17474576368927955
INJIL,AVL,II,0.20191755622625351
INJIL,AVF,II,0.16992850139737128
INJIL,AVR,III,0.15662236467003823
INJIL,AVL,III,0.16403019934892654
INJIL,AVF,III,0.15248704373836516
INJIL,AVL,AVR,0.17426394999027253
INJIL,AVF,AVR,0.16377091586589812
INJIL,AVF,AVL,0.17180878847837447
INJIL,AVF,V4,0.16810900568962098
INJIL,AVF,V5,0.16581614255905153
INJIL,V1,V2,0.485766039788723
INJIL,V1,V3,0.440900377035141
INJIL,V1,V4,0.3840640637278557
INJIL,V1,V5,0.33057581588625906
INJIL,V1,V6,0.47018079727888107
INJIL,V2,V3,0.47197147279977797
INJIL,V2,V4,0.3822490438818932
INJIL,V2,V5,0.3982945466041565
INJIL,V2,V6,0.4710852727293968
INJIL,V3,V4,0.3776731377840042
INJIL,V3,V5,0.38343744069337843
INJIL,V3,V6,0.46166097939014433
INJIL,V4,V5,0.24139417737722396
INJIL,V4,V6,0.36137939304113387
INJIL,V5,V6,0.348913362622261
LPFB,I,II,0.22257535248994828
LPFB,I,III,0.24394646912813187
LPFB,AVR,I,0.1926993042230606
LPFB,AVL,I,0.2085627345740795
LPFB,AVF,I,0.2175327308475971
LPFB,I,V4,0.19252776801586152
LPFB,I,V5,0.21201011165976524
LPFB,II,III,0.28260617315769193
LPFB,AVR,II,0.22520558387041092
LPFB,AVL,II,0.25792229279875756
LPFB,AVF,II,0.2585895048081875
LPFB,AVR,III,0.20930486664175987
LPFB,AVL,III,0.26807345092296603
LPFB,AVF,III,0.23551098987460137
LPFB,AVL,AVR,0.21553848713636398
LPFB,AVF,AVR,0.2020251676440239
LPFB,AVF,AVL,0.23926548048853874
LPFB,AVF,V4,0.18852939069271088
LPFB,AVF,V5,0.20450637564063073
LPFB,V1,V2,0.5141854500770568
LPFB,V1,V3,0.462260662317276
LPFB,V1,V4,0.40371869057416915
LPFB,V1,V5,0.4367299595475197
LPFB,V1,V6,0.48466226816177366
LPFB,V2,V3,0.4614206051826477
LPFB,V2,V4,0.4086698767542839
LPFB,V2,V5,0.39332414001226423
LPFB,V2,V6,0.3860668596625328
LPFB,V3,V4,0.3705025589466095
LPFB,V3,V5,0.37682126998901366
LPFB,V3,V6,0.34945579916238784
LPFB,V4,V5,0.2687514877319336
LPFB,V4,V6,0.2981315644085407
LPFB,V5,V6,0.255079130679369
PVC,I,II,0.24830709278583518
PVC,I,III,0.24833692821554654
PVC,AVR,I,0.22539316134192997
PVC,AVL,I,0.2290732168616393
PVC,AVF,I,0.22608738968387634
PVC,I,V4,0.22552265111834582
PVC,I,V5,0.21826229164615651
PVC,II,III,0.29040192065330644
PVC,AVR,II,0.26831802174066893
PVC,AVL,II,0.266252224162603
PVC,AVF,II,0.2579326366728697
PVC,AVR,III,0.26480502228706304
PVC,AVL,III,0.26820372126805475
PVC,AVF,III,0.2578581483585711
PVC,AVL,AVR,0.24218555001494213
PVC,AVF,AVR,0.23437592924405365
PVC,AVF,AVL,0.23406187905332984
PVC,AVF,V4,0.22186318487693107
PVC,AVF,V5,0.21899179976337993
PVC,V1,V2,0.34613143549515657
PVC,V1,V3,0.3425980928884103
PVC,V1,V4,0.30915459842636034
PVC,V1,V5,0.30973168913752613
PVC,V1,V6,0.347457992526201
PVC,V2,V3,0.3404213260037776
PVC,V2,V4,0.31008322516695047
PVC,V2,V5,0.30470287430362825
PVC,V2,V6,0.3437215168315629
PVC,V3,V4,0.31263403849341925
PVC,V3,V5,0.3082182782277081
PVC,V3,V6,0.34075936618141645
PVC,V4,V5,0.271632032275964
PVC,V4,V6,0.3043112158737122
PVC,V5,V6,0.30560161377757017
ILMI,I,II,0.18063853297382593
ILMI,I,III,0.18322481846436858
ILMI,AVR,I,0.16440866214223207
ILMI,AVL,I,0.1830032051447779
ILMI,AVF,I,0.18641817810013891
ILMI,I,V4,0.1745732757076621
ILMI,I,V5,0.17174977662041782
ILMI,II,III,0.18655162812210618
ILMI,AVR,II,0.1672249950747937
ILMI,AVL,II,0.18243542389944195
ILMI,AVF,II,0.18503393581137062
ILMI,AVR,III,0.1691616139281541
ILMI,AVL,III,0.18441989274695517
ILMI,AVF,III,0.18781905760057271
ILMI,AVL,AVR,0.16414627595804632
ILMI,AVF,AVR,0.1676406750548631
ILMI,AVF,AVL,0.18536105565726757
ILMI,AVF,V4,0.1832505719177425
ILMI,AVF,V5,0.17959777729585766
ILMI,V1,V2,0.4689369015861303
ILMI,V1,V3,0.440049068601802
ILMI,V1,V4,0.3637936264555901
ILMI,V1,V5,0.3581767918076366
ILMI,V1,V6,0.42562514850869776
ILMI,V2,V3,0.4413180402573198
ILMI,V2,V4,0.3700271111540496
ILMI,V2,V5,0.362604996021837
ILMI,V2,V6,0.42081691876985133
ILMI,V3,V4,0.34760631538927556
ILMI,V3,V5,0.3376975873950869
ILMI,V3,V6,0.39218390901573
ILMI,V4,V5,0.2600746683962643
ILMI,V4,V6,0.3273293423373252
ILMI,V5,V6,0.3194553602766246
CLBBB,I,II,0.15220756094902754
CLBBB,I,III,0.16430319491773843
CLBBB,AVR,I,0.1538018959015608
CLBBB,AVL,I,0.1695105341821909
CLBBB,AVF,I,0.16695667997002603
CLBBB,I,V4,0.19632208440452814
CLBBB,I,V5,0.18236439041793345
CLBBB,II,III,0.16343079164624214
CLBBB,AVR,II,0.14673224698752166
CLBBB,AVL,II,0.16413024272769688
CLBBB,AVF,II,0.15917319566011429
CLBBB,AVR,III,0.15671022120863198
CLBBB,AVL,III,0.1736748815327883
CLBBB,AVF,III,0.17570982217788697
CLBBB,AVL,AVR,0.16194514103233815
CLBBB,AVF,AVR,0.15639997728168964
CLBBB,AVF,AVL,0.17155279736965895
CLBBB,AVF,V4,0.21332209307700395
CLBBB,AVF,V5,0.20357235990464687
CLBBB,V1,V2,0.4008431788906455
CLBBB,V1,V3,0.3867520631104708
CLBBB,V1,V4,0.3360626085475087
CLBBB,V1,V5,0.3340313920751214
CLBBB,V1,V6,0.4087278160080314
CLBBB,V2,V3,0.3867034391313791
CLBBB,V2,V4,0.35503109876066447
CLBBB,V2,V5,0.3352933981269598
CLBBB,V2,V6,0.4039761798456311
CLBBB,V3,V4,0.35288940511643885
CLBBB,V3,V5,0.33237926952540875
CLBBB,V3,V6,0.3972611463442445
CLBBB,V4,V5,0.28652754247188567
CLBBB,V4,V6,0.3433640167489648
CLBBB,V5,V6,0.35019449025392535
QWAVE,I,II,0.2605578228424896
QWAVE,I,III,0.281508201902563
QWAVE,AVR,I,0.2595076606941945
QWAVE,AVL,I,0.2401615092113162
QWAVE,AVF,I,0.21709169566179776
QWAVE,I,V4,0.18568279622630635
QWAVE,I,V5,0.18269537848505105
QWAVE,II,III,0.38552027604796657
QWAVE,AVR,II,0.3517568484219638
QWAVE,AVL,II,0.3306463196557579
QWAVE,AVF,II,0.2850113284362085
QWAVE,AVR,III,0.3820442939617418
QWAVE,AVL,III,0.34962719506838097
QWAVE,AVF,III,0.3116539635667296
QWAVE,AVL,AVR,0.32867090888547174
QWAVE,AVF,AVR,0.2789513317021456
QWAVE,AVF,AVL,0.24962195845264376
QWAVE,AVF,V4,0.18710739545749897
QWAVE,AVF,V5,0.18510542763453539
QWAVE,V1,V2,0.3254885375228796
QWAVE,V1,V3,0.3224073781524644
QWAVE,V1,V4,0.2754733604734594
QWAVE,V1,V5,0.26625629759647634
QWAVE,V1,V6,0.3183362334108714
QWAVE,V2,V3,0.3370215352105373
QWAVE,V2,V4,0.2781279859037109
QWAVE,V2,V5,0.2732359340290228
QWAVE,V2,V6,0.3296495633820692
QWAVE,V3,V4,0.2796409208214644
QWAVE,V3,V5,0.27042299443122103
QWAVE,V3,V6,0.32467419627037913
QWAVE,V4,V5,0.22057778339494355
QWAVE,V4,V6,0.26625995371829386
QWAVE,V5,V6,0.264519433008902
AMI,I,II,0.2673832964897156
AMI,I,III,0.34645399570465085
AMI,AVR,I,0.36558235973119735
AMI,AVL,I,0.2352255392074585
AMI,AVF,I,0.26213871508836745
AMI,I,V4,0.1715403190255165
AMI,I,V5,0.16377078428864478
AMI,II,III,0.6146614253520966
AMI,AVR,II,0.5301756012439728
AMI,AVL,II,0.4084930956363678
AMI,AVF,II,0.38424875468015673
AMI,AVR,III,0.6195217773318291
AMI,AVL,III,0.5492177566885948
AMI,AVF,III,0.45541546151041984
AMI,AVL,AVR,0.5050518068671227
AMI,AVF,AVR,0.4526518984138966
AMI,AVF,AVL,0.349998771250248
AMI,AVF,V4,0.19140710726380347
AMI,AVF,V5,0.17498753175139428
AMI,V1,V2,0.15102271392941474
AMI,V1,V3,0.1822287069261074
AMI,V1,V4,0.16527264893054963
AMI,V1,V5,0.1653526809811592
AMI,V1,V6,0.1741806858778
AMI,V2,V3,0.17357066676020622
AMI,V2,V4,0.165176415592432
AMI,V2,V5,0.16372754842042922
AMI,V2,V6,0.1670227375626564
AMI,V3,V4,0.19133723944425582
AMI,V3,V5,0.1928969603776932
AMI,V3,V6,0.1963139757514
AMI,V4,V5,0.17215555295348167
AMI,V4,V6,0.18714427888393403
AMI,V5,V6,0.1879439903795719
NDT,I,II,0.30461255316029895
NDT,I,III,0.3531297508830375
NDT,AVR,I,0.34912743281234393
NDT,AVL,I,0.29418143481016157
NDT,AVF,I,0.21858222167600277
NDT,I,V4,0.17225881076671865
NDT,I,V5,0.1710150001401251
NDT,II,III,0.5522218758680605
NDT,AVR,II,0.5273965983363714
NDT,AVL,II,0.4613111253082752
NDT,AVF,II,0.34098486466841266
NDT,AVR,III,0.5929774905334818
NDT,AVL,III,0.5248531452227723
NDT,AVF,III,0.3951769547164441
NDT,AVL,AVR,0.5074115705219182
NDT,AVF,AVR,0.3660753551938317
NDT,AVF,AVL,0.2877336615730415
NDT,AVF,V4,0.17116851198402316
NDT,AVF,V5,0.1726167203892361
NDT,V1,V2,0.24975720864805315
NDT,V1,V3,0.25193313315510746
NDT,V1,V4,0.19235096193172713
NDT,V1,V5,0.19206562116742132
NDT,V1,V6,0.23917419032617052
NDT,V2,V3,0.2766204218295487
NDT,V2,V4,0.2020840355889364
NDT,V2,V5,0.20322234770113767
NDT,V2,V6,0.26542461083693936
NDT,V3,V4,0.2028737734258175
NDT,V3,V5,0.20039739883758803
NDT,V3,V6,0.27269337664950977
NDT,V4,V5,0.16031137062744663
NDT,V4,V6,0.1994737422601743
NDT,V5,V6,0.19680096954107285
LMI,I,II,0.20417955647621835
LMI,I,III,0.2013635830155441
LMI,AVR,I,0.1699016852251121
LMI,AVL,I,0.18838121627058296
LMI,AVF,I,0.2037106335163117
LMI,I,V4,0.19872402027249333
LMI,I,V5,0.18358851187995506
LMI,II,III,0.2331790624558926
LMI,AVR,II,0.1867538178818566
LMI,AVL,II,0.2067021082767419
LMI,AVF,II,0.22555696527872762
LMI,AVR,III,0.18332474161471637
LMI,AVL,III,0.197633386680058
LMI,AVF,III,0.2238912960461208
LMI,AVL,AVR,0.16971608323710308
LMI,AVF,AVR,0.1750404066911765
LMI,AVF,AVL,0.18892734936305455
LMI,AVF,V4,0.1967681462424142
LMI,AVF,V5,0.18163278656346457
LMI,V1,V2,0.472520260065794
LMI,V1,V3,0.4599416060107093
LMI,V1,V4,0.36264933298741064
LMI,V1,V5,0.3518540832400322
LMI,V1,V6,0.4247232030119214
LMI,V2,V3,0.45403566158243586
LMI,V2,V4,0.34573806794626355
LMI,V2,V5,0.3453879637590477
LMI,V2,V6,0.41465099400707656
LMI,V3,V4,0.35250600455062747
LMI,V3,V5,0.34374119420136723
LMI,V3,V6,0.41530224806496085
LMI,V4,V5,0.25584782025643754
LMI,V4,V6,0.3265793491474219
LMI,V5,V6,0.305142033547163
ISCIL,I,II,0.20120504438877107
ISCIL,I,III,0.20249391674995423
ISCIL,AVR,I,0.16455631002783774
ISCIL,AVL,I,0.1783804751932621
ISCIL,AVF,I,0.1840350556373596
ISCIL,I,V4,0.22712030112743378
ISCIL,I,V5,0.19608760088682176
ISCIL,II,III,0.21662767738103866
ISCIL,AVR,II,0.15455618962645531
ISCIL,AVL,II,0.16783225551247596
ISCIL,AVF,II,0.21333691135048866
ISCIL,AVR,III,0.15581770986318588
ISCIL,AVL,III,0.17100392565131187
ISCIL,AVF,III,0.21935830488801003
ISCIL,AVL,AVR,0.1578581790626049
ISCIL,AVF,AVR,0.15235097721219062
ISCIL,AVF,AVL,0.17181638970971108
ISCIL,AVF,V4,0.22509542793035509
ISCIL,AVF,V5,0.19204551458358765
ISCIL,V1,V2,0.5834424659609795
ISCIL,V1,V3,0.46310675248503685
ISCIL,V1,V4,0.37272814810276034
ISCIL,V1,V5,0.3715898859500885
ISCIL,V1,V6,0.49439949572086334
ISCIL,V2,V3,0.43694695219397545
ISCIL,V2,V4,0.35399741217494013
ISCIL,V2,V5,0.35391843169927595
ISCIL,V2,V6,0.45410679310560226
ISCIL,V3,V4,0.2977712906897068
ISCIL,V3,V5,0.30009036853909493
ISCIL,V3,V6,0.39223978847265245
ISCIL,V4,V5,0.24772848829627037
ISCIL,V4,V6,0.28144086137413976
ISCIL,V5,V6,0.26449322298169137
DIG,I,II,0.23749619975686076
DIG,I,III,0.2626779977977276
DIG,AVR,I,0.24036394459009172
DIG,AVL,I,0.22560022294521329
DIG,AVF,I,0.1923131330907345
DIG,I,V4,0.17028708532452577
DIG,I,V5,0.17477488785982134
DIG,II,III,0.3467375485897064
DIG,AVR,II,0.3098662752807141
DIG,AVL,II,0.29608243709802623
DIG,AVF,II,0.2425091958045959
DIG,AVR,III,0.3416003338098526
DIG,AVL,III,0.3241852869689464
DIG,AVF,III,0.2819213395118713
DIG,AVL,AVR,0.30056111329793933
DIG,AVF,AVR,0.23930431509017938
DIG,AVF,AVL,0.22067430725693693
DIG,AVF,V4,0.17107026341557505
DIG,AVF,V5,0.17292282247543336
DIG,V1,V2,0.3603327151238919
DIG,V1,V3,0.3533181375265121
DIG,V1,V4,0.26906583923101424
DIG,V1,V5,0.2956408174335957
DIG,V1,V6,0.3599142297804355
DIG,V2,V3,0.36312752738595017
DIG,V2,V4,0.26438556012511255
DIG,V2,V5,0.2857393116354943
DIG,V2,V6,0.3631838959157465
DIG,V3,V4,0.26088061362504955
DIG,V3,V5,0.2729012631177903
DIG,V3,V6,0.3589072942733765
DIG,V4,V5,0.2145318309962749
DIG,V4,V6,0.2779971641004086
DIG,V5,V6,0.29689957818388935
LOWT,I,II,0.28144629066189136
LOWT,I,III,0.3043702631443739
LOWT,AVR,I,0.27907927667101223
LOWT,AVL,I,0.26286315344274036
